,기업명,공모가(원),기관청약경쟁률,일반청약경쟁률,상장주식수,매출액(백만원),순이익(백만원),자본금(백만원),의무보유확약비율,구주매출비율,최대주주지분율,유통가능물량(비율),공모금액(백만원),첫날손익률,최대희망공모가액차(%),주간사규모,유가증권여부,상장분기,종가
83,나래나노텍,17500,102,24.36,3100000,82805,2273,5529,0.97,22.96,44.69,53.84,54250,-20.57,-14.63,1,0,1,"13,900"
84,유바이오로직스,6000,31.09,10.5,3200000,1603,-2828,12115,0,0,25,43.69,19200,-15.5,-11.76,1,0,1,"5,070"
85,티앤엘,36000,338.91,1109.19,800000,32655,7286,2032,0.41,0,56.63,40.81,28800,50,-5.26,1,0,4,"54,000"
86,쏘카(유가),28000,56.07,14.4,3640000,261824,-67745,3272,0.17,0,19.01,14.51,101920,-6.07,-37.78,1,1,3,"26,300"
87,석경에이티,10000,1390.29,1751.58,1000000,6403,1111,2727,6.68,0,41.45,58,10000,160,0,1,0,4,"26,000"
88,제노포커스,11000,842.79,1206.75,1200000,2195,112,3678,41.12,0,50.1,43.21,13200,130,22.22,1,0,2,"25,300"
89,아진산업,6500,11.61,0.47,4500000,134258,15665,6299,8.7,0,50.4,45.19,29250,-2.77,-13.33,1,0,4,"6,320"
90,라이프시맨틱스,12500,1402.17,1774.57,1000000,1162,-3963,4888,3.78,0,39.55,47.68,12500,40,0,1,0,1,"17,500"
91,한국바이오젠,6000,1087.6,1019.62,1784500,16434,2130,1590,0,20.31,39.86,47.35,10707,120,5.26,1,0,3,"13,200"
92,에스앤디,28000,173.11,4.2,1023000,56537,7359,2029,0.01,0,31,57.56,28644,-22.5,-12.5,0,0,3,"21,700"
93,엠코르셋,11500,766.05,51.47,2518500,124300,7757,5036,16.4,20,41.09,56.2,28963,12.61,0,0,0,3,"12,950"
94,지니너스,20000,66.03,162.5,2000000,3794,-9152,5434,0.1,0,37.41,31.74,40000,-33,-37.89,0,0,4,"13,400"
95,원티드랩,35000,1503.91,1731.23,730000,14648,-9174,2351,10.98,27.69,29.77,26.03,25550,160,0,1,0,3,"91,000"
96,오션브릿지,6600,617.92,1135.44,2265000,25389,3496,4562,10.75,0,17,34.4,14949,1.52,0,0,0,4,"6,700"
97,인포마크,14000,251.2,381,870000,70657,3389,1751,12,0,28.6,43.7,12180,43.57,0,1,0,3,"20,100"
98,클리오,41000,153.08,5.68,4497600,106914,17651,8994,10.42,50,73.75,26.25,184402,-10.24,0,1,0,4,"36,800"
99,플리토,26000,1133,710.71,1473486,3505,-3761,2584,22,32.13,34.11,39.59,38311,6.92,13.04,1,0,3,"27,800"
100,체리부로,4700,265.38,616.6,6151897,290878,16031,13936,0.4,32.49,63.4,32.76,28914,-15.32,0,1,0,4,"3,980"
101,비씨엔씨,13000,1831.23,2686.22,2500000,47343,2011,6183,22.84,0,64.32,24.18,32500,73.85,13.04,1,0,1,"22,600"
102,제일모직(구.삼성에버랜드)(유가),53000,465,194.9,28749950,3018454,96302,12500,35.14,0,66.4,19.2,1523747,113.21,0,1,1,4,"113,000"
103,포인트모바일,15000,1447.07,1842.97,1094873,62181,8494,616,18.19,15.5,33.52,36.08,16423,103.67,0,1,0,4,"30,550"
104,티웨이항공(유가),12000,23.03,1.15,16000000,584032,39708,23487,0,25.26,58.3,32.3,192000,-3.75,-28.14,1,1,3,"11,550"
105,상신전자,13300,601.54,1002.23,700000,67474,5089,1960,0,0,40.81,23.34,9310,65.41,0,1,0,4,"22,000"
106,파인텍,10500,382.64,1041.73,1065651,141968,11825,2723,45.68,0,36.3,57.3,11189,62.86,0,1,0,3,"17,100"
107,링크제니시스,30000,754.6,1184.36,300000,10195,1758,213,35.9,0,42.08,55.38,9000,35,20,1,0,1,"40,500"
108,브이씨,15000,190.59,46.41,1000000,35364,4513,3493,19.93,0,35.05,44.2,15000,2.33,-23.08,1,0,1,"15,350"
109,현대중공업(유가),60000,1835.87,404.29,18000000,8310181,-431463,443865,53.09,0,79.7,16.2,1080000,85.83,0,1,1,3,"111,500"
110,루닛,30000,7.1,8.99,1214300,1430,-83739,6078,1.65,0,22.7,49.3,36429,33.33,-38.78,1,0,3,"40,000"
111,아시아나IDT(유가),15000,7.04,1.21,3300000,264919,19397,5550,0,66.67,76.2,19,49500,-17,-37.76,1,1,4,"12,450"
112,위드텍,25000,1336.49,1185.51,1060000,58061,11129,2545,23.53,0,66.45,25.05,26500,64.4,0,1,0,4,"41,100"
113,퓨런티어,15000,1535.42,2683,1600000,15082,-2180,3982,11.08,0,66.47,24.51,24000,108,13.64,0,0,1,"31,200"
114,덴티움(유가),32000,22.96,364.19,2545831,95489,14497,5534,0.4,0,41.21,50.51,81467,7.81,-36,1,1,1,"34,500"
115,피피아이,7000,997.33,1147.7,1000000,38120,2549,4654,2.47,0,25.89,73.77,7000,37.57,0,1,0,4,"9,630"
116,경보제약(유가),15000,524.56,263.87,9562750,169781,8636,11953,34.44,0,60,32,143441,128.33,0,1,1,2,"34,250"
117,라파스,20000,202.06,813.16,1600000,9725,-3657,4095,0,0,25.84,59.21,32000,-9.75,-31.03,0,0,4,"18,050"
118,큐리언트,21000,709.15,959.28,1548000,215,-10706,3613,35.24,0,22.84,45.07,32508,85.71,0,1,0,1,"39,000"
119,오로스테크놀로지,21000,1260,1033.82,1900000,26901,7570,4654,37.12,0,33.71,23.92,39900,160,0,1,0,1,"54,600"
120,디어유,26000,2001.11,1598.15,3300000,13048,-2250,10875,37.46,0,62.36,23.56,85800,155.77,8.33,1,0,4,"66,500"
121,이노션(유가),68000,273.09,204.13,5001000,744734,83835,10000,52.4,0,39,29,340068,-11.03,-4.23,1,1,3,"60,500"
122,에스제이그룹,38600,946.62,512.93,820000,68630,3531,1647,13.56,0,51.24,33.12,31652,20.21,0,1,0,4,"46,400"
123,실리콘투,27200,1437.63,1701,1654000,99398,5716,5012,8.37,5.68,52.27,27.41,44989,6.62,0,1,0,3,"29,000"
124,에이티젠,17000,695.7,1166.97,1007255,1678,-6031,5036,40.6,0,21.3,57,17123,51.76,17.24,1,0,4,"25,800"
125,원방테크,54300,406.8,348.77,1282716,118882,14592,2147,3.2,70,55.84,41.38,69651,-19.52,0,1,0,3,"43,700"
126,고바이오랩,15000,64.33,566.54,2400000,577,-44067,7742,0.03,0,36.37,27.59,36000,108.67,-34.78,1,0,4,"31,300"
127,자이언트스텝,11000,1691.65,2342,1400000,12839,-4430,4713,24.42,0,54.9,30.86,15400,160,0,1,0,1,"28,600"
128,자이에스앤디(유가),5200,768.58,665.41,8800000,212696,10716,26782,5.1,0,66.8,26.7,45760,17.69,0,1,1,4,"6,120"
